ID,brand,NIC,owner,image
018507097,TechnikElfe,42,Sara Menzel-Berger,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45YQ6KRD6ANLBBBB5IGGEEHQULXE
018530887,Tranike,"9, 10, 21","Shenzhen Xinyi Technology Co., Ltd.",No Image
018554274,PANIKE,"29, 30, 35","PANIKE - INDÚSTRIA DE PRODUTOS ALIMENTARES CONGELADOS, S.A.",No Image
018554609,DSGVO Datenschutz Ziviltechniker GmbH - Wir schützen Ihre Daten -,"42, 45",DSGVO-ZT GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45SYCMR6L4L6TDBD6K7S3ADWLQ5E
018586664,NIKE,"9, 35, 41",NIKE Innovate C.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45SHROLGKTR55CCW3OHEGIQTPAVK
018586666,NIKE,"9, 35, 41",NIKE Innovate C.V.,No Image
018605923,NIKELAND,"9, 25, 35, 41, 42",NIKE Innovate C.V.,No Image
018623025,T TEKNIKER MEMBER OF BASQUE RESEARCH &amp; TECHNOLOGY ALLIANCE,"7, 9, 37, 40, 41, 42",FUNDACION TEKNIKER,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U452JLEFHCTEKBIRITP6UHD2VBIPC
018674218,Atomos Kliniken,"35, 36",Atomos-Kliniken GmbH,No Image
018678896,NIKEDEM,"29, 30",Andrea Ursula Grün,No Image
018689924,ETXENIKE KUTXARA,29,"M. ETXENIKE, S.A.",No Image
018725918,nikelX Account Based Ticketing,"9, 25, 35, 38, 39, 42","Michael Weber, Olga White, Demuth Business Partner",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45QGYQ5EK5N7QNHVP7RVHE6Y6PBO
018736251,NIKE GO,25,NIKE Innovate C.V.,No Image
018736252,NIKE ZENVY,25,NIKE Innovate C.V.,No Image
018736254,NIKE UNIVERSA,25,NIKE Innovate C.V.,No Image
018764903,Siphoniker,"6, 11, 17, 19",HL Hutterer &amp; Lechner GmbH,No Image
018764904,SIPHONIKER,"6, 11, 17, 19",HL Hutterer &amp; Lechner GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45VAFLB54GY54XBY2H6OIBJKPY7S
018811349,TIM DOSTARCZAMY ELEKTROTECHNIKĘ PROFESJONALISTOM,"35, 37, 39, 41, 42",TIM S.A.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45RWV4THYJKZXHE53FJVKR7FQX72
018848142,NIKE MOTIVA,25,NIKE Innovate C.V.,No Image
018857586,NIKE INVINCIBLE,25,NIKE Innovate C.V.,No Image
018865557,NIKE CRATER,25,NIKE Innovate C.V.,No Image
018866819,NIKE,"7, 10, 12, 14, 21, 26, 27, 41, 42",NIKE Innovate C.V.,No Image
018871826,Genikeer,"21, 28","Guangzhou Jingxiao Network Technology Co., Ltd.",No Image
018880415,NORDISKA KLINIKEN,"3, 44",Nordiska Kliniken,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45TJOE77CBL4BIGPA2SULBQVCGCI
018881419,NIKE STRIDE,25,NIKE Innovate C.V.,No Image
018886839,Laklinike,"3, 5, 35, 44",Haitham Abu Kahdijeh and his Partners Company,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45ZHHSY5N34X4YEBSZRYE4BRMNVS
018899582,KONCEPT kliniken,44,Koncept kliniken beauty AB,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45VS42MOHANDQZOCI3KZVVBJVDWS
018943239,MACHENIKE,9,"QINGDAO THUNDEROBOT TECHNOLOGY CO., LTD.",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45XU4QUGFJJNDNI5OYHRVGV3OI4M
018958093,LAINIKE,21,"Guangzhou Lainike Trading Co., Ltd.",No Image
018985382,MONIKER,36,Visa International Service Association,No Image
018989986,Organiker KERATIN TREATMENT,"3, 35",SAGA PROFESIONAL S.L.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U453GM6CV63SUF7LOA25QJMLZELTO
019006500,NANIKEOLA,"9, 14, 16, 28, 35, 41, 42",Susanne Korntner,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPY5X7OI6A3KZCQBHDBUZ4FR2OF35AW6C6H2DFVKWJ3IYJVFIY6DRA
019017718,CogniKEY,"41, 44",Brain Training Center S.R.L.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPY5X7OI6A3KZCQBHDBUZ4FR2OF3SGG7QDDSZOUC3DLKDE4JUKXP6O
019023991,TZMengNiKe,"11, 21","Shenzhen MengNiKe Trading Co., Ltd.",No Image
019052244,Sensomotorik Techniker,41,footpower Service GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPY5X7OI6A3KZCQBHDBUZ4FR2OF3YGV2XDKIMZIWKJCJWRYQY6EMSW
019074876,UNIKEYBOX,"7, 8",Linmao Pan,No Image
019085235,Anikers,11,"Shenzhen Ouyitong E-commerce Co., Ltd.",No Image
