ID,brand,NIC,owner,image
006486765,Pineapple,"9, 25, 35",Pineapple Holdings Limited,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3STKASGLI2AG7OANZ5LJ5ILVLBBDEUISVS47PGCELYP3BDV2CBMA
006872981,GRAND PINEAPPLE,43,Sandals Resorts International 2000 Inc,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3STKASGLI2AG7OANZ5LJ5ILVLBKER566NWULMSDWEVBWJ55UM2EM
006907737,APPLETON,"6, 21, 24, 25, 28",J Wray &amp; Nephew Limited,No Image
006907919,APPLETON ESTATE SINCE 1749 JAMAICA RUM,"6, 21, 24, 25, 28, 33",J Wray &amp; Nephew Limited,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3STKASGLI2AG7OANZ5LJ5ILVLBDNYHYIRJ64JF4THWTCL44MGMI4
006964522,APPLEHOUSE,"39, 41, 43",SOUTHALL TRAVEL LIMITED,No Image
007022189,APPLE PARK,28,TINCO TOYS COMPANY LIMITED,No Image
007029952,appleton,"9, 10, 11",Appleton Woods Limited,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYJMXYEQCHAD2DNZZZMTQT6SUNOB7DMSH7LLAUD7XSILYWKLG6TVO
007047228,APPLE FROST,"32, 33, 43",KRONENBOURG,No Image
007084437,PINEAPPLE,"3, 9, 14, 18, 21, 24, 25, 26, 28, 41",Pineapple Holdings Limited,No Image
007101538,APPLE RINGS,30,Intercontinental Great Brands LLC,No Image
008316424,MODÌ BIO ,31,C.I.V. - CONSORZIO ITALIANO VIVAISTI - Società consortile a r.l.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPY2GMNUH2DMDRRPDKLRWSW4T4DCUGGKMIWM5QBWO5GL6ZHOZCVLI4
008585606,APPLEYARD LEES,"35, 41, 45",Appleyard Lees IP LLP,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPY2GMNUH2DMDRRPDKLRWSW4T4DCRPCM5RNW6FUBUXBKAPZ7PCWA5I
008775439,BIG APPLE,32,Apollinaris Brands GmbH,No Image
008786055,so much more than an apple,31,Apple and Pear Australia Limited,No Image
008820987,CHOKOLINIS Organic Apple,29,HM-Chocolate AG,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPY2GMNUH2DMDRRPDKLRWSW4T4DC27PWSSLQYQEAOHVQOMMMCA3LTE
008872178,APPLE LOVE,"18, 25",Antonio Calahorra Quiñones,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPY2GMNUH2DMDRRPDKLRWSW4T4DCQGP5LWM2UMANNOA2B2EBXZ6QUU
008954166,APPLE BOTTOMS,"3, 9, 14, 18, 25","LJIK, LLC",No Image
009270208,BLACK APPLE,"3, 18, 25",Gerd Kullmann,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7HLJ25ZLJ2GYZMCFXJSDAZBNKYK
009291899,THE APPLETISER FAMILY,"32, 33",European Refreshments Unlimited Company,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7OQ26DAUD6ALWQWTTFPAA25LHQU
009305178,APPLETIME,"32, 33",European Refreshments Unlimited Company,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7KDTGY5MLNEGFRL2ACEEXDT2CHI
009343211,APPLE VACATIONS,"39, 43","The Coryn Group II, LLC",No Image
009484544,ABSOLUT COUNTRY OF SWEDEN ORIENT APPLE,33,The Absolut Company Aktiebolag,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7PWWUXATFWHXK2U4URZXKDEUVYW
009571233,Appleritif,"32, 33",Rudolf Clostermann,No Image
009576349,APPLE of EDEN,25,ShoeShooting GmbH,No Image
009632415,SUPER PINEAPPLE,"32, 33","Jules Fernandes, Maureen Fernandes, Robert Fernandes, Jackie Fernandes, Marisol Binn-Fernandes",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7PQGJRMTIHJZNBWBDUK3B7KABLW
009752064,APPLE TEA,30,"NASEEM AL BARARI GENERAL TRADING CO., L.L.C.",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7B2VFLDCWEBPOKSZZYNAVOUUB5M
009775131,ROYAL APPLE PURE PREMIUM,"29, 32, 33",Waldemar Żółcik,No Image
009775156,Royal apple PURE PREMIUM,"29, 32, 33",Waldemar Żółcik,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7FSWCBUZMSWJGMC2LOJ4OTWG3CG
009783978,APPLE,"1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45",Apple Inc.,No Image
009795923,APPLE SHOES 1870,"14, 18, 25",RAUTUREAU - APPLE SHOES,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7DECF6NXZHQHSSELS3PG7D4PKOM
009885633,APPLETREE,"35, 36, 41, 42, 45",Bruno Aregger,No Image
