ID,brand,NIC,owner,image
003314945,tp TRANSPETROL,"12, 39",TRANSPETROL HOLDING LIMITED,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZLCHF5WB55F55SNTTQLC6RKUQ2HDE2KSAST4CORUWMYREU4DFNFU
003977022,International Petroleum Exchange,"9, 35, 36",ICE  Futures,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZLCHF5WB55F55SNTTQLC6RKUQ2DNAMW4RLUSHJP35ZGCMV3RZKUG
004692869,ANADARKO PETROLEUM CORPORATION,"1, 4, 6, 7, 9, 12, 25, 35, 36, 37, 39, 40, 42",Anadarko Petroleum Corporation,No Image
004713351,BIOPETROL INDUSTRIES AG,"1, 4, 11, 35, 39, 40, 42",Glencore Biofuels AG,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP266YKCNR2JU7FNJMSAFOAODEVITITRQXOZJISI6JYA3L7PDZYYEY
004968384,Anadarko Petroleum Corporation,"1, 4, 6, 7, 9, 12, 25, 35, 36, 37, 39, 40, 42",Anadarko Petroleum Corporation,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP266YKCNR2JU7FNJMSAFOAODEVI2TTCUWRBYLXPXXBDZQUV6SEIBY
005000518,Anadarko Petroleum Corporation Bringing Excellence to the Surface,"4, 25, 36, 37, 42",Anadarko Petroleum Corporation,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZFXGD4B6MWNXYL5ZAH6AYIL5ZEIYV4DZ6H3CVAE67EQA7HJZ6OX4
005002845,ip ITALIANA PETROLI,"1, 4, 37, 43",MIP S.p.A.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZFXGD4B6MWNXYL5ZAH6AYIL5ZED2TT5VQMAGXDUWWLUVSL2ROZUW
005019302,PETROL,9,PETROL BAGS Ltd.,No Image
005055074,PETROLEUM INDUSTRY RESEARCH ASSOCIATES,36,"Petroleum Industry Research Associates, Inc. dba PIRA Energy Group",No Image
005312228,Anadarko Petroleum Corporation and Affiliates,"1, 4, 6, 7, 9, 12, 25, 35, 36, 37, 39, 40, 42",Anadarko Petroleum Corporation,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZFXGD4B6MWNXYL5ZAH6AYIL5ZEHK7GISFSROZHGUPGQBJNVTI3KC
005312483,"Pinnacle GAS TREATING, INC. A Subsidiary of Anadarko Petroleum Corporation","6, 7, 9, 35, 36, 37, 39, 40, 42",Anadarko Petroleum Corporation,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZFXGD4B6MWNXYL5ZAH6AYIL5ZEHM77QY6EM5AUKOAPNPW6FF7HVI
005906862,PETROLIS,"35, 36, 37, 41, 42",GROUPE CBV INGENIERIE S.A.,No Image
006475495,fip FORT INSTALACIONES PETROLERAS S.L.,"35, 37, 42","FORT INSTALACIONES PETROLERAS, S.L.",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3STKASGLI2AG7OANZ5LJ5ILVLBDUNNPQ2TYIQNR5C4KTX4X3ZTE6
